BV,av,title,pubtime,tag,up,fans,length,view,danmu,review,favorite
BV1gJ411c7gp,70467009,为什么在红灯区工作的日本女生这么多？每二十个中就有一个在…,Mon Oct  7 19:13:33 2019,"vlog爱拍挑战,日语,日本女生,萌妹子,日本文化,日本",纳豆奶奶,4121000,652,7227377,50588,11092,89134
BV1R4411c711,58074555,实测在日本穿短裙一定会被偷拍？一女子在偷拍高发地竟遇到这种事......,Sat Jul  6 16:40:42 2019,"Vlog夏日大作战,日本妹子,日本文化,生活,VLOG,高能,日本",纳豆奶奶,4121000,633,7141587,40189,8611,75315
BV1jx411q7ir,12077917,【老番茄】100万粉丝啦！！！！（vlog#1）,Tue Jul 11 09:00:41 2017,"日常,vlog,1,老番茄",老番茄,11468000,900,7116133,81093,16418,45395
BV1k4411m7kC,66291923,直男第一次去女仆店会发生什么？！,Sun Sep  1 18:09:59 2019,"我的生活态度,女仆装,女仆咖啡厅,萌妹子,生活,直男,VLOG,可爱,搞笑,力元君",★⑥檤轮囬★,1977000,611,7082678,48212,5734,62877
BV1KJ411t7KM,79753087,试吃全世界最贵的火腿！切下八小片就能卖四百的伊比亚火腿！,Wed Dec 18 20:33:16 2019,"幽默,奇葩,敬汉卿,逗比,恶搞,原创,娱乐,高能,生活,vlog",敬汉卿,8605000,516,7049974,15653,7003,42778
BV1FJ41147aC,80030891,15万买钻戒求婚，女友直接把我推开！,Sat Dec 21 10:45:15 2019,"老坛胡说,生活,VLOG,求婚,爱情,萌妹子,恋爱,情侣,搞笑,啊吗棕",力元君,2428000,1030,6747530,162921,27786,226518
BV1L7411K75m,91844781,我在3平米的房间住了两年............,Wed Feb 26 16:55:22 2020,"宅家vlog挑战,生活,生活记录",东亚悍匪阿_张,95000,612,6621973,20549,10727,55504
BV1FJ41147G5,80023773,只带一个锅能白嫖一顿火锅吗？阴阳怪气陪你过平安夜！,Tue Dec 24 20:00:22 2019,"30天vlog挑战,自制,VLOG,火锅,平安夜,中国BOY,某幻,老番茄,花少北,LexBurner",中国BOY超级大猩猩,5419000,4054,6565876,183815,8668,193013
BV1NE41197vn,69603687,事实证明，发sao要看对象。。。,Tue Oct  1 15:33:58 2019,"vlog爱拍挑战,生活,自制,搞笑视频,卖萌",Enjoying_M,2390,15,6410419,231,426,2927
BV1Bx411f7eT,58715382,全网首个警方抓捕VLOG：这不是演习，子弹已经压满了！,Thu Jul 11 12:23:03 2019,"高能,警察,记录,海南,执法,中国,VLOG,社会,自首,子弹",广东共青团,863000,226,6394143,60357,5276,69725
BV184411s7po,53603964,学习了摸仙堡的方言,Sun May 26 01:14:30 2019,"搞笑视频,娱乐,游乐王子,巴啦啦小魔仙,vlog,创作新秀奖",挡到我的鸭肠了,8113,114,6382389,5990,5768,141136
BV1LE411h7Kh,73734077,崩溃！骗日本妹子2块一斤的西瓜2000块，故意摔碎让她赔会发生什么...,Mon Oct 28 17:58:45 2019,"vlog爱拍挑战,VLOG,旅游,萌妹子,高能,美食,日本,日本妹子,恶搞,搞笑",纳豆奶奶,4121000,850,6380899,42528,7190,57834
BV1B4411776V,52786308,中国男子尝试在日本街头搭讪妹子，结果……,Sat May 18 18:00:49 2019,"520,生活,VLOG,日本,搭讪,街头,宠粉,挑战",孤独的美食基,2909000,501,6319433,26000,5650,49769
BV1iJ411w7D4,68153467,这下玩崩了吧！中国小伙在家偷偷用vr看片，被日本女友发现后...『kei和marin』,Wed Sep 18 18:00:59 2019,"中日情侣,日语,VLOG,VR,VR体验,情侣,人类观察,Vlog家庭录像带",kei和marin,1381000,425,6288940,12178,2449,30692
BV1yJ411X7N2,77181272,外卖小哥:上个月跑了1002单，看发了多少工资，带媳妇去吃顿好的！,Wed Nov 27 11:38:58 2019,"外卖小哥,VLOG,95后,生活记录,励志,美团",阿博vlog,18000,330,6234871,12017,11095,21536
BV1GJ411V7mG,82772411,这就是抖音小姐姐推荐的零食吗？我傻了,Fri Jan 10 21:15:14 2020,"冬日美食挑战,30天vlog挑战,美食圈,零食,试吃,零食开箱,抖音",阿帅馋了,71000,447,6206726,26540,9052,24893
BV1t7411t7AP,87560221,这小孩有大富大贵之相,Sat Feb  8 19:24:23 2020,"生活记录,VLOG,记录,高能,生活,小孩",长白山小野猪,31000,133,6204345,22576,13533,74022
BV1Jt411N761,62747645,【老番茄】我去做化妆师啦！,Fri Aug  9 12:00:14 2019,"闪耀暖暖 清新战队,VLOG,逗比,生活,老番茄,化妆,美妆,时尚,党妹,闪耀暖暖,机智的党妹",老番茄,11468000,1222,6125872,120521,8943,133715
BV1SE411F7C1,98404427,不要“做”挑战？（第二期）,Sun Mar 22 16:55:07 2020,"搞笑挑战,逗比,搞笑,恶搞,vlog,小潮,生活,沙雕,桌游,日常",小潮院长,3163000,606,6109944,32260,8559,68676
BV1wE41187f2,74026716,【老番茄】我去做动画了！,Fri Nov  1 12:00:03 2019,"生活,VLOG,老番茄,米哈游,崩坏3,动画",老番茄,11468000,912,6103865,51777,5677,70540
BV1K7411y7SE,99531081,听说纳豆奶奶改了日本国籍？,Thu Mar 26 17:27:04 2020,"加油2020-VLOG挑战,VLOG,生活,萌妹子,纳豆奶奶,日本女生,可爱,性感,女神,日本",纳豆奶奶,4121000,732,6089969,82750,44741,81361
BV1x7411Z7VA,96917394,不要“做”挑战 ？,Tue Mar 17 04:15:33 2020,"搞笑竞技大赛,逗比,搞笑,恶搞,vlog,小潮,生活,沙雕,日常,桌游",小潮院长,3163000,540,6077919,34258,5297,104939
BV1Q7411Y7YM,84424891,我 在 百 大 求 婚 了,Tue Jan 21 18:18:38 2020,"全能打卡挑战,VLOG,情侣,求婚,力元君,啊吗粽,变形兄弟,百大up主,搞笑,拿姐",啊吗粽,2514000,1629,6026853,197598,16636,232346
BV1d4411U7od,63906023,我竟被粉丝逼疯了！！【喵会长】,Fri Aug 16 18:00:17 2019,"暑期爆肝挑战,生活,萌妹,撩,生活记录,VLOG,沙雕,读评论,可爱,正能量",隔壁班的喵会长,1565000,419,6018482,12314,6125,45965
BV1LE411F7TJ,98321982,老师看到了我的视频该怎么办！！？,Sun Mar 22 13:29:11 2020,"VLOG,生活,搞笑,记录,吐槽,沙雕,读评论,师生对线,网课,老番茄",鹤吱菌,1505000,1255,5965683,104570,16514,87097
BV134411X7cv,63004507,大陆人吃不起榨菜？吃完茶叶蛋的局座又来吃榨菜炫富了~,Sat Aug 10 01:43:57 2019,"Vlog星制造,张召忠,局座",张召忠,3954000,631,5965399,67944,20459,47914
BV1jt411G7FF,59353355,男子上网学撩妹方法，撩了下日本妹子，结果…,Tue Jul 16 18:00:38 2019,"30天vlog挑战,撩妹,萌妹子,恋爱,生活,日语,约会,中国,日本,vlog",孤独的美食基,2909000,546,5936612,54396,9654,53219
BV1Px411d7pf,56930590,【干杯十周年】bilibili十周年，听我讲故事 全程回顾,Wed Jun 26 23:16:05 2019,"干杯十周年,bilibili十周年,三体,散人,局座,刘慈欣,美丽小学,人生一串,入站曲2019",哔哩哔哩弹幕网,2753000,45927,5906586,224151,11036,141873
